accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
EF507737	EF507737.1	GenBank		EF507737			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507738	EF507738.1	GenBank		EF507738			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507739	EF507739.1	GenBank		EF507739			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507740	EF507740.1	GenBank		EF507740			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507741	EF507741.1	GenBank		EF507741			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507742	EF507742.1	GenBank		EF507742			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507743	EF507743.1	GenBank		EF507743			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507744	EF507744.1	GenBank		EF507744			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF549611	EF549611.1	GenBank		ITA161			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549612	EF549612.1	GenBank		ITA198			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549613	EF549613.1	GenBank		ITA199			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549614	EF549614.1	GenBank		ITA285			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549615	EF549615.1	GenBank		ITA295			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
